source,query_company,role,filing_uuid,filing_year,period,filing_type,dt_posted,registrant_name,registrant_id,client_name,client_id,income,expenses,lobbying_issues,url
Senate LDA,OpenAI,client,5d928e9c-a1a2-4688-baf6-837d1abb6492,2023,,4th Quarter - Report,2024-01-22T16:53:42-05:00,"OPENAI OPCO, LLC",401107987,"OPENAI OPCO, LLC",57805,,260000.00,Computer Industry; Copyright/Patent/Trademark; Science/Technology,https://lda.senate.gov/filings/public/filing/5d928e9c-a1a2-4688-baf6-837d1abb6492/print/
Senate LDA,OpenAI,client,cbad7c81-7058-45fc-8658-2436ce676257,2023,,4th Quarter - Report,2024-01-22T18:11:55-05:00,DLA PIPER LLP (US),76855,"OPENAI OPCO, LLC",57807,90000.00,,Computer Industry,https://lda.senate.gov/filings/public/filing/cbad7c81-7058-45fc-8658-2436ce676257/print/
Senate LDA,OpenAI,client,7776e176-d3d3-48c1-8921-37c0c5d35cce,2023,,4th Quarter - Report (No Activity),2024-01-19T10:31:46-05:00,AKIN GUMP STRAUSS HAUER & FELD,682,"OPENAI OPCO, LLC",58080,30000.00,,,https://lda.senate.gov/filings/public/filing/7776e176-d3d3-48c1-8921-37c0c5d35cce/print/
Senate LDA,OpenAI,client,aa0fcd21-baea-4258-a87c-2fb384b7c454,2024,,4th Quarter - Report (No Activity),2025-01-13T16:00:22-05:00,HOGAN LOVELLS US LLP,18422,"OPENAI OPCO, LLC",59054,,,,https://lda.senate.gov/filings/public/filing/aa0fcd21-baea-4258-a87c-2fb384b7c454/print/
Senate LDA,OpenAI,client,852b11b5-898d-45a7-95c8-d30950b9440a,2024,,4th Quarter - Report,2025-01-21T10:50:36-05:00,AKIN GUMP STRAUSS HAUER & FELD,682,"OPENAI OPCO, LLC",58080,80000.00,,Computer Industry,https://lda.senate.gov/filings/public/filing/852b11b5-898d-45a7-95c8-d30950b9440a/print/
Senate LDA,OpenAI,client,3e927e61-710b-4c48-b4bc-071b99fd37c1,2024,,4th Quarter - Report,2025-01-17T14:08:37-05:00,DLA PIPER LLP (US),76855,"OPENAI OPCO, LLC",57807,60000.00,,Computer Industry,https://lda.senate.gov/filings/public/filing/3e927e61-710b-4c48-b4bc-071b99fd37c1/print/
Senate LDA,OpenAI,client,8fb2c55d-721f-4ccb-bccc-5f0a31fa7063,2024,,4th Quarter - Report,2025-01-21T18:33:02-05:00,"OPENAI OPCO, LLC",401107987,"OPENAI OPCO, LLC",57805,,510000.00,Computer Industry; Science/Technology,https://lda.senate.gov/filings/public/filing/8fb2c55d-721f-4ccb-bccc-5f0a31fa7063/print/
Senate LDA,OpenAI,client,40ab91f2-4c8b-4dd3-b8d3-fdab2ecb9b14,2024,,4th Quarter - Report,2025-01-21T16:26:53-05:00,"MILLER STRATEGIES, LLC",401104313,OPENAI,63285,80000.00,,Science/Technology; Computer Industry; Copyright/Patent/Trademark; Energy/Nuclear,https://lda.senate.gov/filings/public/filing/40ab91f2-4c8b-4dd3-b8d3-fdab2ecb9b14/print/
Senate LDA,OpenAI,client,2a4161fb-9741-46d3-a370-89f90b07f31c,2025,,1st Quarter - Termination (No Activity),2025-04-17T10:54:40-04:00,HOGAN LOVELLS US LLP,18422,"OPENAI OPCO, LLC",59054,,,,https://lda.senate.gov/filings/public/filing/2a4161fb-9741-46d3-a370-89f90b07f31c/print/
Senate LDA,OpenAI,client,68344856-c86f-4b76-89a3-4990bfaea288,2025,,4th Quarter - Report,2026-01-20T11:08:10-05:00,AKIN GUMP STRAUSS HAUER & FELD,682,"OPENAI OPCO, LLC",58080,80000.00,,Computer Industry; Science/Technology,https://lda.senate.gov/filings/public/filing/68344856-c86f-4b76-89a3-4990bfaea288/print/
Senate LDA,OpenAI,client,e987548e-2248-42c0-b6b8-6c42b2de6c59,2025,,4th Quarter - Report,2026-01-20T15:58:19-05:00,DLA PIPER LLP (US),76855,"OPENAI OPCO, LLC",57807,50000.00,,Computer Industry,https://lda.senate.gov/filings/public/filing/e987548e-2248-42c0-b6b8-6c42b2de6c59/print/
Senate LDA,OpenAI,client,9e87b82e-81ab-43c2-8bf0-2d11baf802fc,2025,,4th Quarter - Report,2026-01-20T14:44:37-05:00,"MILLER STRATEGIES, LLC",401104313,OPENAI,63285,150000.00,,Science/Technology; Computer Industry; Copyright/Patent/Trademark; Energy/Nuclear,https://lda.senate.gov/filings/public/filing/9e87b82e-81ab-43c2-8bf0-2d11baf802fc/print/
Senate LDA,OpenAI,client,8fd00332-8a97-439d-9348-bef9437f524d,2025,,4th Quarter - Report,2026-01-20T17:12:31-05:00,"OPENAI OPCO, LLC",401107987,"OPENAI OPCO, LLC",57805,,890000.00,Computer Industry; Copyright/Patent/Trademark; Science/Technology,https://lda.senate.gov/filings/public/filing/8fd00332-8a97-439d-9348-bef9437f524d/print/
Senate LDA,OpenAI,client,c2cac663-5651-4fc1-b9af-3a84162d337e,2026,,1st Quarter - Report,2026-04-20T10:15:25-04:00,AKIN GUMP STRAUSS HAUER & FELD,682,"OPENAI OPCO, LLC",58080,80000.00,,Computer Industry; Science/Technology; Labor Issues/Antitrust/Workplace,https://lda.senate.gov/filings/public/filing/c2cac663-5651-4fc1-b9af-3a84162d337e/print/
Senate LDA,OpenAI,client,acaa7a72-bfde-4163-91f9-ea62d7ff47a0,2026,,1st Quarter - Report,2026-04-20T12:03:23-04:00,DLA PIPER LLP (US),76855,"OPENAI OPCO, LLC",57807,50000.00,,Computer Industry,https://lda.senate.gov/filings/public/filing/acaa7a72-bfde-4163-91f9-ea62d7ff47a0/print/
Senate LDA,OpenAI,client,769cd6f2-89e9-42d7-ae56-a082f583fb2e,2026,,1st Quarter - Report,2026-04-20T14:35:09-04:00,"MILLER STRATEGIES, LLC",401104313,OPENAI,63285,150000.00,,Science/Technology; Computer Industry; Copyright/Patent/Trademark; Energy/Nuclear,https://lda.senate.gov/filings/public/filing/769cd6f2-89e9-42d7-ae56-a082f583fb2e/print/
Senate LDA,OpenAI,client,a8040c01-31bc-45c9-afb1-7ab54820ae32,2026,,1st Quarter - Report,2026-04-20T16:56:48-04:00,"OPENAI OPCO, LLC",401107987,"OPENAI OPCO, LLC",57805,,1020000.00,Computer Industry; Copyright/Patent/Trademark; Science/Technology,https://lda.senate.gov/filings/public/filing/a8040c01-31bc-45c9-afb1-7ab54820ae32/print/
Senate LDA,OpenAI,registrant,2343a623-780b-4992-881e-39c5683543f0,2023,,Registration,2023-11-16T15:02:01-05:00,"OPENAI OPCO, LLC",401107987,"OPENAI OPCO, LLC",57805,,,Computer Industry; Copyright/Patent/Trademark; Science/Technology,https://lda.senate.gov/filings/public/filing/2343a623-780b-4992-881e-39c5683543f0/print/
Senate LDA,OpenAI,registrant,5d928e9c-a1a2-4688-baf6-837d1abb6492,2023,,4th Quarter - Report,2024-01-22T16:53:42-05:00,"OPENAI OPCO, LLC",401107987,"OPENAI OPCO, LLC",57805,,260000.00,Computer Industry; Copyright/Patent/Trademark; Science/Technology,https://lda.senate.gov/filings/public/filing/5d928e9c-a1a2-4688-baf6-837d1abb6492/print/
Senate LDA,OpenAI,registrant,c272e869-3d0a-422d-a7eb-9492ae201815,2024,,1st Quarter - Report,2024-04-22T19:44:13-04:00,"OPENAI OPCO, LLC",401107987,"OPENAI OPCO, LLC",57805,,340000.00,Computer Industry; Copyright/Patent/Trademark; Science/Technology,https://lda.senate.gov/filings/public/filing/c272e869-3d0a-422d-a7eb-9492ae201815/print/
Senate LDA,OpenAI,registrant,65af1ec4-3378-4bcf-8409-c2510f503162,2024,,2nd Quarter - Report,2024-07-22T20:43:41-04:00,"OPENAI OPCO, LLC",401107987,"OPENAI OPCO, LLC",57805,,460000.00,Computer Industry; Copyright/Patent/Trademark; Science/Technology,https://lda.senate.gov/filings/public/filing/65af1ec4-3378-4bcf-8409-c2510f503162/print/
Senate LDA,OpenAI,registrant,8123a755-4352-4b04-a879-bd476eee0bee,2024,,2nd Quarter - Amendment,2024-08-20T15:47:57-04:00,"OPENAI OPCO, LLC",401107987,"OPENAI OPCO, LLC",57805,,480000.00,Computer Industry; Copyright/Patent/Trademark; Science/Technology,https://lda.senate.gov/filings/public/filing/8123a755-4352-4b04-a879-bd476eee0bee/print/
Senate LDA,OpenAI,registrant,1864dcc3-9b97-46bb-bf53-c10efb61b8d3,2024,,3rd Quarter - Report,2024-10-21T17:40:00-04:00,"OPENAI OPCO, LLC",401107987,"OPENAI OPCO, LLC",57805,,430000.00,Computer Industry; Copyright/Patent/Trademark; Science/Technology,https://lda.senate.gov/filings/public/filing/1864dcc3-9b97-46bb-bf53-c10efb61b8d3/print/
Senate LDA,OpenAI,registrant,8fb2c55d-721f-4ccb-bccc-5f0a31fa7063,2024,,4th Quarter - Report,2025-01-21T18:33:02-05:00,"OPENAI OPCO, LLC",401107987,"OPENAI OPCO, LLC",57805,,510000.00,Computer Industry; Science/Technology,https://lda.senate.gov/filings/public/filing/8fb2c55d-721f-4ccb-bccc-5f0a31fa7063/print/
Senate LDA,OpenAI,registrant,6deea4d2-e191-49b0-b197-86dce2d5bd0a,2025,,1st Quarter - Amendment,2025-04-21T20:30:30-04:00,"OPENAI OPCO, LLC",401107987,"OPENAI OPCO, LLC",57805,,560000.00,Computer Industry; Copyright/Patent/Trademark; Science/Technology,https://lda.senate.gov/filings/public/filing/6deea4d2-e191-49b0-b197-86dce2d5bd0a/print/
Senate LDA,OpenAI,registrant,fd1f6b00-6e42-4546-8c2c-e3dfc4bc539c,2025,,2nd Quarter - Report,2025-07-21T19:31:24-04:00,"OPENAI OPCO, LLC",401107987,"OPENAI OPCO, LLC",57805,,620000.00,Computer Industry; Copyright/Patent/Trademark; Science/Technology,https://lda.senate.gov/filings/public/filing/fd1f6b00-6e42-4546-8c2c-e3dfc4bc539c/print/
Senate LDA,OpenAI,registrant,e7ad53f7-20f6-427f-a5d9-2b27b4c0621e,2025,,3rd Quarter - Report,2025-10-20T16:57:27-04:00,"OPENAI OPCO, LLC",401107987,"OPENAI OPCO, LLC",57805,,920000.00,Computer Industry; Copyright/Patent/Trademark; Science/Technology,https://lda.senate.gov/filings/public/filing/e7ad53f7-20f6-427f-a5d9-2b27b4c0621e/print/
Senate LDA,OpenAI,registrant,8fd00332-8a97-439d-9348-bef9437f524d,2025,,4th Quarter - Report,2026-01-20T17:12:31-05:00,"OPENAI OPCO, LLC",401107987,"OPENAI OPCO, LLC",57805,,890000.00,Computer Industry; Copyright/Patent/Trademark; Science/Technology,https://lda.senate.gov/filings/public/filing/8fd00332-8a97-439d-9348-bef9437f524d/print/
