source,query_company,client_name,registrant_name,role,filing_uuid,filing_year,period,filing_type,dt_posted,registrant_id,client_id,income,expenses,lobbying_issues,lobbying_bills,lobbying_gov_entities,url
Senate LDA,boeing,AVIATION PARTNERS BOEING,DENNY MILLER ASSOCIATES,client,6d2f058c-6a4b-40d2-ae23-10bfd88e20a5,2007,,Year-End Report,2008-02-05T16:13:56.243000-05:00,25328,133127,60000,,Taxation/Internal Revenue Code; Transportation; Defense; Budget/Appropriations,,HOUSE OF REPRESENTATIVES; SENATE,https://lda.senate.gov/filings/public/filing/6d2f058c-6a4b-40d2-ae23-10bfd88e20a5/print/
Senate LDA,boeing,AVIATION PARTNERS BOEING,DENNY MILLER ASSOCIATES,client,1debd153-0f61-4c3c-babf-316cdea5d06f,2008,,4th Quarter - Report,2009-01-15T12:20:12-05:00,25328,133127,30000,,Aviation/Airlines/Airports; Defense; Budget/Appropriations,,"Defense, Dept of (DOD); HOUSE OF REPRESENTATIVES; SENATE",https://lda.senate.gov/filings/public/filing/1debd153-0f61-4c3c-babf-316cdea5d06f/print/
Senate LDA,boeing,AVIATION PARTNERS BOEING,DENNY MILLER ASSOCIATES,client,819f98b2-fcc5-4fff-b880-9036932ec102,2009,,4th Quarter - Report,2010-01-12T16:20:52.677000-05:00,25328,133127,30000,,Taxation/Internal Revenue Code; Aviation/Airlines/Airports; Budget/Appropriations,,HOUSE OF REPRESENTATIVES; SENATE,https://lda.senate.gov/filings/public/filing/819f98b2-fcc5-4fff-b880-9036932ec102/print/
Senate LDA,boeing,AVIATION PARTNERS BOEING,DENNY MILLER ASSOCIATES,client,7e151847-d21e-4487-a4f8-970da4108e78,2010,,4th Quarter - Report,2011-01-18T15:51:09.803000-05:00,25328,133127,20000,,Defense,,HOUSE OF REPRESENTATIVES; SENATE,https://lda.senate.gov/filings/public/filing/7e151847-d21e-4487-a4f8-970da4108e78/print/
Senate LDA,boeing,AVIATION PARTNERS BOEING,DENNY MILLER ASSOCIATES,client,e98d34b6-7e83-4a6c-8425-7614494b9601,2011,,4th Quarter - Report,2012-01-19T17:05:47-05:00,25328,133127,20000,,Defense,,HOUSE OF REPRESENTATIVES; SENATE,https://lda.senate.gov/filings/public/filing/e98d34b6-7e83-4a6c-8425-7614494b9601/print/
Senate LDA,boeing,AVIATION PARTNERS BOEING,DENNY MILLER ASSOCIATES,client,87519f48-07d6-439f-b267-c5a4121e810d,2012,,4th Quarter - Termination (No Activity),2013-01-16T12:47:58.557000-05:00,25328,133127,5000,,,,,https://lda.senate.gov/filings/public/filing/87519f48-07d6-439f-b267-c5a4121e810d/print/
Senate LDA,boeing,BOEING,"GIBSON, DUNN & CRUTCHER LLP",client,dfbd7004-78b4-49a0-8cb6-ee98c80c7143,1999,,Year-End Report,2000-02-15T00:00:00-05:00,16178,121644,100000,,Aerospace,,"Defense, Dept of (DOD); HOUSE OF REPRESENTATIVES; SENATE",https://lda.senate.gov/filings/public/filing/dfbd7004-78b4-49a0-8cb6-ee98c80c7143/print/
Senate LDA,boeing,BOEING,"HILL & KNOWLTON STRATEGIES, LLC",client,58d9f238-48e4-4112-8bf5-a465e1114bbf,1999,,Year-End Report (No Activity),2000-02-14T00:00:00-05:00,18262,123596,,,,,,https://lda.senate.gov/filings/public/filing/58d9f238-48e4-4112-8bf5-a465e1114bbf/print/
Senate LDA,boeing,BOEING,THE PMA GROUP,client,dd9e0deb-1688-4e7c-9ef5-c226c12d9abc,1999,,Year-End Report,2000-02-15T00:00:00-05:00,23521,130228,140000,,Defense; Disaster Planning/Emergencies; Law Enforcement/Crime/Criminal Justice,,"Commerce, Dept of (DOC); Defense, Dept of (DOD); HOUSE OF REPRESENTATIVES; SENATE; State, Dept of (DOS)",https://lda.senate.gov/filings/public/filing/dd9e0deb-1688-4e7c-9ef5-c226c12d9abc/print/
Senate LDA,boeing,BOEING,"GIBSON, DUNN & CRUTCHER LLP",client,bc9b0811-8c24-466b-9ec9-6afd7c9917f5,2000,,Year-End Report (No Activity),2001-02-16T00:00:00-05:00,16178,121644,0,,,,,https://lda.senate.gov/filings/public/filing/bc9b0811-8c24-466b-9ec9-6afd7c9917f5/print/
Senate LDA,boeing,BOEING,THE PMA GROUP,client,fafb1f17-e709-4606-bf50-11073581d7fd,2000,,Year-End Report,2001-02-14T00:00:00-05:00,23521,130228,180000,,,,,https://lda.senate.gov/filings/public/filing/fafb1f17-e709-4606-bf50-11073581d7fd/print/
Senate LDA,boeing,BOEING,"HILL & KNOWLTON STRATEGIES, LLC",client,0fd83ceb-17e7-41ab-aea6-0283ebb7e2e5,2000,,Year-End Amendment (No Activity),2001-08-08T00:00:00-04:00,18262,123596,0,,,,,https://lda.senate.gov/filings/public/filing/0fd83ceb-17e7-41ab-aea6-0283ebb7e2e5/print/
Senate LDA,boeing,BOEING,THE PMA GROUP,client,41e816e8-cac7-4f1e-8e89-5774a3c7ad01,2001,,Year-End Report,2002-03-01T00:00:00-05:00,23521,130228,180000,,Budget/Appropriations,,"Defense, Dept of (DOD); HOUSE OF REPRESENTATIVES; SENATE; State, Dept of (DOS)",https://lda.senate.gov/filings/public/filing/41e816e8-cac7-4f1e-8e89-5774a3c7ad01/print/
Senate LDA,boeing,BOEING,APCO WORLDWIDE LLC,client,628c2e30-6dc2-4071-b5a4-6299faaf4dc8,2001,,Year-End Report,2002-07-31T00:00:00-04:00,4117,103863,0,,Transportation,,"Federal Aviation Administration (FAA); Transportation, Dept of (DOT)",https://lda.senate.gov/filings/public/filing/628c2e30-6dc2-4071-b5a4-6299faaf4dc8/print/
Senate LDA,boeing,BOEING,"HILL & KNOWLTON STRATEGIES, LLC",client,c8471196-87e8-4b9f-9da7-b07bea56da8e,2001,,Year-End Report (No Activity),2002-06-04T00:00:00-04:00,18262,123596,0,,,,,https://lda.senate.gov/filings/public/filing/c8471196-87e8-4b9f-9da7-b07bea56da8e/print/
Senate LDA,boeing,BOEING,"GIBSON, DUNN & CRUTCHER LLP",client,b2e08767-6c21-4a4d-ade8-d65087b86311,2001,,Mid-Year Report (No Activity),2002-08-16T00:00:00-04:00,16178,121644,0,,,,,https://lda.senate.gov/filings/public/filing/b2e08767-6c21-4a4d-ade8-d65087b86311/print/
Senate LDA,boeing,BOEING,THE PMA GROUP,client,cc96c9ca-619f-468d-8e15-e86deb44bf8b,2002,,Year-End Report,2003-02-25T00:00:00-05:00,23521,130228,40000,,Budget/Appropriations,,"Defense, Dept of (DOD); HOUSE OF REPRESENTATIVES; SENATE; State, Dept of (DOS)",https://lda.senate.gov/filings/public/filing/cc96c9ca-619f-468d-8e15-e86deb44bf8b/print/
